PEDIDO_ID;DATA_PEDIDO;CLIENTE_ID;OBRA_ID;USINA_ID;TIPOCONCRETO_ID;M3_PEDIDO;STATUS;PRECO_UNITARIO;M3_ENTREGUE;HORA_SAIDA;HORA_CHEGADA;MOTIVO_ATRASO
795;2023-12-24;1147;644;78;3;11.4;ENTREGUE;410.8;10.926602751013888;02:32:10;02:34:49;
803;2024-11-18;1753;405;3;3;15.98;ENTREGUE;447.42;15.116679363918944;10:08:45;18:46:47;
1967;2022-05-29;828;2454;70;1;23.81;ENTREGUE;423.79;23.228095364417094;07:19:03;15:35:40;
698;2022-03-06;1243;2267;22;3;23.34;ENTREGUE;315.17;21.69401352209649;01:58:17;11:17:48;
470;2023-11-29;674;124;33;2;40.26;ENTREGUE;365.58;36.42452696448638;16:09:22;18:09:15;
1822;2021-07-27;1617;1547;95;3;29.81;ENTREGUE;382.44;29.26981650187435;10:09:47;16:27:40;
1228;2021-06-05;1495;250;31;3;15.54;ENTREGUE;318.48;14.314385598592285;05:44:48;17:26:22;
615;2024-12-24;839;2761;78;4;49.82;ENTREGUE;479.4;51.385395308260826;06:33:14;13:34:46;
218;2021-07-23;805;282;25;2;40.65;ENTREGUE;289.42;41.40657236511051;04:06:36;23:36:35;
1469;2024-05-02;221;2997;18;2;40.78;ENTREGUE;478.06;42.11214034799438;10:37:33;09:24:04;
1605;2022-05-11;1780;1520;91;2;23.45;ENTREGUE;393.61;24.012221477742514;00:53:56;07:17:56;
1646;2022-08-01;1641;1348;18;3;16.63;ENTREGUE;479.02;17.015607753163092;12:18:46;20:24:43;
725;2023-06-30;1631;1014;57;4;5.52;ENTREGUE;410.61;5.34514423197608;04:42:34;14:33:16;
1481;2021-01-07;1058;1572;25;1;18.67;ATRASADO;457.13;19.055014768840294;11:30:32;09:05:12;Clima
1983;2025-06-13;1861;246;84;3;18.48;ATRASADO;368.84;18.796265523076276;16:16:28;20:04:40;Clima
846;2023-05-29;1237;645;72;4;47.55;ENTREGUE;328.46;46.726567104406286;23:54:43;23:20:45;
1556;2024-06-20;1181;942;78;1;47.22;ENTREGUE;391.44;45.999349085317064;07:18:12;03:22:08;
881;2023-08-20;1654;2919;79;2;40.06;ENTREGUE;423.16;40.13865845696854;22:17:19;06:34:09;
515;2025-08-02;1012;364;86;2;42.7;ENTREGUE;316.78;41.55995960540949;06:30:50;13:01:59;
334;2024-10-11;1140;2924;42;1;49.32;ENTREGUE;396.15;46.843415685214;01:59:20;17:42:51;
1783;2021-01-18;1319;1263;5;3;8.32;ENTREGUE;434.77;7.584356241696117;05:20:18;05:48:27;
665;2024-06-25;1268;965;93;4;8.36;ENTREGUE;335.56;8.751813907086738;06:44:44;15:53:50;
473;2024-12-11;911;2598;25;1;46.86;ENTREGUE;287.29;43.724131121617816;10:30:48;08:30:57;
1981;2021-01-25;487;1681;75;3;15.42;ENTREGUE;354.11;16.011279304599324;05:14:49;03:20:36;
591;2024-11-10;650;2266;16;2;22.87;ENTREGUE;332.96;21.6658007263239;09:17:36;12:59:01;
225;2022-06-16;1098;83;5;4;12.62;ATRASADO;297.33;12.059805414012978;11:30:59;06:33:41;Manutenção
452;2024-05-15;44;1518;67;3;7.22;ATRASADO;432.29;7.4065923242672875;05:42:44;18:29:28;Manutenção
1943;2025-08-17;1330;2515;52;3;17.86;ENTREGUE;433.18;16.641296517927927;13:46:48;22:57:16;
646;2025-06-13;1922;881;75;4;15.24;ATRASADO;430.4;13.998085345997298;13:53:30;02:30:02;Manutenção
1710;2023-02-12;1758;1406;29;3;18.77;ENTREGUE;307.37;17.994993497921463;15:27:21;07:40:59;
1589;2023-09-11;161;421;67;4;14.06;ATRASADO;366.83;13.873902742782787;17:45:50;21:01:09;Trânsito
929;2024-03-22;1754;992;22;3;20.32;ENTREGUE;393.1;18.372677581965146;23:57:11;21:57:24;
1678;2025-03-23;758;810;36;4;6.04;ENTREGUE;424.37;6.08028156960551;14:58:12;03:39:14;
905;2022-02-03;1689;1567;62;3;36.99;ENTREGUE;399.08;36.41488550573398;00:46:40;12:30:58;
571;2022-08-13;1765;1418;85;3;12.09;ENTREGUE;491.71;12.509604809254569;08:40:23;04:42:27;
523;2023-05-09;593;2224;52;2;16.22;ENTREGUE;367.19;16.175323647958535;07:39:29;07:08:13;
1190;2022-07-15;817;2265;91;4;38.14;ENTREGUE;301.69;34.408428767610474;22:58:56;09:09:53;
854;2024-07-12;1367;2372;61;3;15.8;ENTREGUE;316.86;15.604846657348332;07:32:55;01:33:11;
888;2022-02-03;11;1131;63;1;41.77;ENTREGUE;389.07;41.861002005660026;06:14:12;16:33:22;
252;2025-01-27;683;856;39;4;27.15;ATRASADO;488.78;27.17958813204923;14:50:40;11:52:30;Clima
528;2021-12-16;34;429;7;4;20.29;ENTREGUE;330.75;20.360753157404563;21:24:01;19:57:48;
783;2023-09-25;1425;1246;36;4;16.14;ENTREGUE;284.99;16.12718361849658;05:09:58;14:35:23;
1540;2024-03-26;296;2526;33;1;25.29;ENTREGUE;389.72;24.494509111513423;21:57:31;14:44:47;
1608;2025-05-29;1963;2170;25;4;16.98;ATRASADO;292.56;15.738320357434365;22:45:11;12:15:30;Manutenção
1491;2024-03-06;1447;1137;100;2;40.9;ENTREGUE;453.72;40.97956536561984;10:40:44;00:44:29;
1719;2021-07-31;1552;2992;20;2;46.24;ATRASADO;386.34;42.56464556017177;12:17:13;12:46:31;Trânsito
1278;2021-12-28;77;223;96;2;40.42;ENTREGUE;339.13;39.945809736425396;19:48:11;05:00:02;
1511;2024-02-09;648;364;82;1;23.45;ENTREGUE;440.18;21.73219809500541;13:24:30;12:49:45;
1373;2021-06-25;1283;785;35;4;16.86;ENTREGUE;475.93;15.729592325107506;02:42:55;12:24:43;
1418;2021-01-08;1185;531;88;4;37.09;ENTREGUE;481.32;38.67011925301648;23:39:22;18:32:50;
1802;2021-11-16;1012;2551;71;3;18.21;ENTREGUE;430.84;18.591490198433107;05:42:40;19:01:52;
1128;2021-03-10;1168;858;70;1;28.75;ENTREGUE;432.21;30.0049119787225;20:58:04;22:39:23;
565;2024-01-25;202;2681;3;3;16.57;ENTREGUE;306.81;15.157873035163803;09:49:31;04:07:21;
1261;2022-09-30;1535;2110;59;1;28.43;ENTREGUE;302.61;29.73714222319918;01:34:12;00:33:22;
214;2022-09-18;707;2375;80;2;38.22;ATRASADO;395.92;35.681729469484175;16:35:51;16:48:12;Manutenção
384;2023-12-14;1648;2431;71;4;44.58;ATRASADO;392.12;40.50258060030335;17:44:29;10:05:09;Clima
638;2023-08-29;1472;2533;49;4;31.25;ENTREGUE;374.87;29.91521199567784;09:46:27;13:30:48;
621;2021-01-24;969;1174;51;2;47.35;ENTREGUE;444.37;44.265272604281165;13:12:05;00:55:22;
524;2025-06-30;1770;418;99;2;27.65;ENTREGUE;382.11;26.37329807056182;07:26:44;00:50:32;
1212;2024-01-06;752;2766;12;4;32.12;ENTREGUE;315.52;30.49812272705115;10:32:56;04:37:18;
650;2023-07-30;630;1222;58;4;45.38;ENTREGUE;391.79;44.980458445903786;21:05:38;00:08:28;
1669;2023-03-30;1989;109;84;3;9.94;ATRASADO;380.53;9.8175208472085;02:05:38;04:37:54;Trânsito
1937;2024-01-18;1223;2999;36;3;17.39;ENTREGUE;393.43;17.001253294856998;08:58:30;18:46:35;
102;2021-04-03;711;1974;17;2;34.36;ENTREGUE;313.61;35.520550829157806;06:15:25;09:25:10;
1463;2022-11-06;1950;996;42;1;30.41;ENTREGUE;403.1;28.87598852647029;04:08:22;15:33:48;
