PEDIDO_ID;DATA_PEDIDO;CLIENTE_ID;OBRA_ID;USINA_ID;TIPOCONCRETO_ID;M3_PEDIDO;STATUS;PRECO_UNITARIO
1;2022-01-11;199;531;66;2;14.16;CONFIRMADO;285.7
2;2023-03-13;698;1560;70;3;16.15;CANCELADO;476.15
3;2024-02-05;1188;124;12;1;16.81;CONFIRMADO;395.03
4;2025-07-14;706;2206;95;3;21.02;CONFIRMADO;349.0
5;2023-02-27;1230;171;49;1;36.99;CANCELADO;324.84
6;2023-02-10;971;1404;66;2;41.86;CONFIRMADO;477.73
7;2022-07-13;51;2572;27;1;32.02;CONFIRMADO;485.45
8;2025-01-06;1703;1444;5;1;41.96;CONFIRMADO;371.33
9;2024-08-07;78;2134;66;2;24.41;CONFIRMADO;355.32
10;2025-02-23;715;741;1;2;33.2;CONFIRMADO;327.79
11;2024-09-16;1523;1687;5;3;18.68;CONFIRMADO;324.36
12;2023-10-06;338;1977;100;3;41.73;CONFIRMADO;457.94
13;2021-05-24;277;1936;37;1;26.31;CONFIRMADO;446.0
14;2023-01-10;1247;614;86;1;18.16;CONFIRMADO;332.41
15;2022-04-29;461;1401;13;1;48.18;CONFIRMADO;350.32
16;2023-11-23;823;57;36;3;11.02;CONFIRMADO;430.95
17;2022-07-14;1620;438;19;4;43.56;CONFIRMADO;438.57
18;2025-08-21;1576;804;3;1;31.82;CANCELADO;407.7
19;2025-08-18;496;2008;95;2;40.29;CONFIRMADO;338.32
20;2024-01-09;1005;2927;84;1;39.81;CONFIRMADO;428.67
21;2021-01-26;697;403;46;1;26.05;CONFIRMADO;305.74
22;2024-08-28;222;1095;58;3;12.0;CANCELADO;437.72
23;2021-05-28;626;1130;64;2;7.03;CONFIRMADO;339.76
24;2022-08-01;1466;657;10;3;26.34;CONFIRMADO;459.34
25;2021-01-25;1650;891;32;4;21.4;CONFIRMADO;305.0
26;2025-05-22;469;1922;71;4;16.85;CONFIRMADO;488.08
27;2025-05-21;311;1324;46;4;6.05;CONFIRMADO;465.73
28;2025-07-29;1002;129;2;2;45.99;CANCELADO;285.97
29;2025-01-09;1967;684;69;1;14.35;CONFIRMADO;472.9
30;2024-03-20;942;2318;97;1;14.79;CONFIRMADO;442.47
31;2021-03-25;74;505;40;1;29.3;CONFIRMADO;342.82
32;2023-04-18;526;1620;38;4;22.78;CONFIRMADO;305.26
33;2022-08-17;1214;893;57;4;26.03;CONFIRMADO;427.47
34;2024-04-23;577;915;24;3;6.27;CANCELADO;352.63
35;2024-01-16;1135;1948;36;3;9.37;CONFIRMADO;370.38
36;2024-11-29;451;1914;77;2;35.39;CONFIRMADO;367.41
37;2022-08-11;607;357;39;1;28.97;CANCELADO;463.62
38;2024-12-04;1082;2375;90;2;41.63;CONFIRMADO;479.47
39;2022-06-22;252;29;72;4;33.98;CONFIRMADO;399.01
40;2021-09-13;539;2227;88;3;5.28;CONFIRMADO;407.19
41;2021-07-31;374;2269;97;3;43.01;CANCELADO;345.69
42;2021-07-07;1918;2461;64;4;47.21;CONFIRMADO;280.7
43;2023-06-30;1986;2755;74;4;44.31;CONFIRMADO;417.61
44;2022-03-24;750;754;17;4;19.29;CONFIRMADO;451.79
45;2024-09-06;965;1741;87;1;44.81;CANCELADO;479.78
46;2021-03-05;839;1915;75;4;12.23;CONFIRMADO;445.35
47;2023-08-11;1720;1532;30;4;22.79;CONFIRMADO;368.33
48;2022-03-22;1773;187;49;1;24.45;CONFIRMADO;453.82
49;2023-11-01;627;839;17;2;42.32;CONFIRMADO;347.68
50;2022-12-27;815;2287;78;1;35.39;CONFIRMADO;320.6
51;2025-04-14;1713;1867;63;2;36.0;CONFIRMADO;476.34
52;2023-10-12;1263;1594;86;3;31.43;CONFIRMADO;294.88
53;2022-06-06;369;1771;30;2;32.41;CONFIRMADO;487.87
54;2023-09-11;211;2332;77;1;6.48;CONFIRMADO;467.94
55;2023-11-08;162;2968;11;1;38.25;CANCELADO;322.83
56;2024-05-22;318;2459;14;4;47.24;CONFIRMADO;449.24
57;2022-08-14;1511;902;49;2;26.49;CANCELADO;334.62
58;2025-08-28;478;1055;56;3;39.34;CONFIRMADO;426.86
59;2022-11-03;404;2010;12;2;8.31;CONFIRMADO;499.68
60;2024-02-06;1053;1905;54;3;48.35;CONFIRMADO;435.16
61;2024-12-27;897;225;4;1;34.66;CANCELADO;359.84
62;2024-07-30;498;1677;2;3;32.12;CONFIRMADO;338.77
63;2025-01-20;1518;2345;87;4;44.69;CONFIRMADO;370.74
64;2023-05-05;1519;2654;1;3;40.94;CONFIRMADO;358.67
65;2022-11-12;551;1325;98;3;39.72;CANCELADO;492.93
66;2023-04-23;294;232;3;2;7.01;CONFIRMADO;309.46
67;2025-05-07;778;1694;89;1;48.84;CONFIRMADO;459.12
68;2023-01-08;1407;2184;81;1;23.81;CONFIRMADO;305.63
69;2022-09-03;1025;790;77;4;33.2;CONFIRMADO;487.11
70;2022-01-06;417;1886;50;1;14.26;CANCELADO;329.75
71;2025-02-20;1605;1172;63;3;24.13;CONFIRMADO;372.44
72;2025-08-30;599;1102;13;3;43.61;CANCELADO;299.79
73;2022-01-23;942;798;73;3;46.8;CONFIRMADO;307.19
74;2021-08-03;908;369;59;2;45.68;CONFIRMADO;393.73
75;2022-02-14;1752;720;10;3;40.71;CONFIRMADO;344.13
76;2023-01-23;396;1227;11;4;5.89;CANCELADO;398.99
77;2023-07-20;796;1247;40;3;36.88;CONFIRMADO;397.32
78;2023-09-08;1024;2275;97;2;45.92;CONFIRMADO;292.08
79;2024-02-12;23;697;6;2;36.63;CONFIRMADO;305.76
80;2022-11-12;685;882;90;3;10.1;CONFIRMADO;386.58
81;2024-02-16;1213;539;59;4;22.27;CONFIRMADO;379.64
82;2022-09-20;1265;2080;5;3;26.92;CONFIRMADO;420.25
83;2021-04-25;719;2098;31;2;33.75;CANCELADO;322.68
84;2025-01-12;1114;871;91;4;38.0;CONFIRMADO;464.02
