,SINAPI_SUDESTE,SELIC_ACUM,IPCA_MENSAL,CAMBIO_USD
2010-01-01,802.5074999999999,0.66,0.75,1.779
2010-02-01,804.5624999999999,0.59,0.78,1.8408
2010-03-01,815.035,0.76,0.52,1.785
2010-04-01,817.0699999999999,0.67,0.57,1.7558
2010-05-01,828.58,0.75,0.43,1.8124
2010-06-01,832.6875,0.79,0.0,1.8057
2010-07-01,836.5574999999999,0.86,0.01,1.7688
2010-08-01,843.7675,0.89,0.04,1.7588
2010-09-01,845.835,0.85,0.45,1.7179
2010-10-01,846.9449999999999,0.81,0.75,1.6827
2010-11-01,859.94,0.81,0.83,1.7125
2010-12-01,862.1925,0.93,0.63,1.6926
2011-01-01,864.1025,0.86,0.83,1.6741
2011-02-01,865.845,0.84,0.8,1.6672
2011-03-01,877.55,0.92,0.79,1.6583
2011-04-01,878.47,0.84,0.77,1.5856
2011-05-01,888.6225,0.99,0.47,1.6127
2011-06-01,896.95,0.96,0.15,1.5862
2011-07-01,898.855,0.97,0.16,1.5631
2011-08-01,903.655,1.07,0.37,1.5962
2011-09-01,907.3299999999999,0.94,0.53,1.749
2011-10-01,910.89,0.88,0.43,1.7719
2011-11-01,911.3299999999999,0.86,0.52,1.7898
2011-12-01,913.1075,0.91,0.5,1.8362
2012-01-01,925.275,0.89,0.56,1.789
2012-02-01,930.0225,0.75,0.45,1.7178
2012-03-01,931.8475000000001,0.82,0.21,1.7947
2012-04-01,943.8149999999999,0.71,0.64,1.8542
2012-05-01,951.8375,0.74,0.36,1.9854
2012-06-01,958.37,0.64,0.08,2.0486
2012-07-01,960.0325,0.68,0.43,2.0282
2012-08-01,962.6825,0.69,0.41,2.0289
2012-09-01,963.875,0.54,0.57,2.0275
2012-10-01,967.3050000000001,0.61,0.59,2.0293
2012-11-01,972.72,0.55,0.6,2.0672
2012-12-01,974.6925000000001,0.55,0.79,2.0772
2013-01-01,976.6575,0.6,0.86,2.0305
2013-02-01,988.47,0.49,0.6,1.9727
2013-03-01,987.8199999999999,0.55,0.47,1.9823
2013-04-01,1000.24,0.61,0.55,2.0016
2013-05-01,951.0825,0.6,0.37,2.0343
2013-06-01,1026.9125,0.61,0.26,2.1724
2013-07-01,963.795,0.72,0.03,2.2516
2013-08-01,965.75,0.71,0.24,2.3416
2013-09-01,967.7125,0.71,0.35,2.2699
2013-10-01,968.2674999999999,0.81,0.57,2.1881
2013-11-01,970.4524999999999,0.72,0.54,2.2947
2013-12-01,981.6824999999999,0.79,0.92,2.3449
2014-01-01,985.6724999999999,0.85,0.55,2.3816
2014-02-01,990.2574999999999,0.79,0.69,2.3831
