,SINAPI_SUDESTE,SELIC_ACUM,IPCA_MENSAL,CAMBIO_USD,COMMODITIES_METAIS,MES,ANO,SELIC_ACUM_LAG1,CAMBIO_USD_LAG1,IPCA_MENSAL_LAG1,COMMODITIES_METAIS_LAG1,CAMBIO_USD_LAG2
2010-03-01,815.035,0.76,0.52,1.785,183.10133565393528,3,2010,0.59,1.8408,0.78,167.3047800953254,1.779
2010-04-01,817.0699999999999,0.67,0.57,1.7558,207.58511948214516,4,2010,0.76,1.785,0.52,183.10133565393528,1.8408
2010-05-01,828.58,0.75,0.43,1.8124,187.033362691158,5,2010,0.67,1.7558,0.57,207.58511948214516,1.785
2010-06-01,832.6875,0.79,0.0,1.8057,170.5537227198278,6,2010,0.75,1.8124,0.43,187.033362691158,1.7558
2010-07-01,836.5574999999999,0.86,0.01,1.7688,164.2057239993336,7,2010,0.79,1.8057,0.0,170.5537227198278,1.8124
2010-08-01,843.7675,0.89,0.04,1.7588,182.31253489892967,8,2010,0.86,1.7688,0.01,164.2057239993336,1.8057
2010-09-01,845.835,0.85,0.45,1.7179,184.6661559282114,9,2010,0.89,1.7588,0.04,182.31253489892967,1.7688
2010-10-01,846.9449999999999,0.81,0.75,1.6827,195.4456195691554,10,2010,0.85,1.7179,0.45,184.6661559282114,1.7588
2010-11-01,859.94,0.81,0.83,1.7125,202.8216070262303,11,2010,0.81,1.6827,0.75,195.4456195691554,1.7179
2010-12-01,862.1925,0.93,0.63,1.6926,213.35857341783355,12,2010,0.81,1.7125,0.83,202.8216070262303,1.6827
2011-01-01,864.1025,0.86,0.83,1.6741,225.05733530971992,1,2011,0.93,1.6926,0.63,213.35857341783355,1.7125
2011-02-01,865.845,0.84,0.8,1.6672,234.6876819702066,2,2011,0.86,1.6741,0.83,225.05733530971992,1.6926
2011-03-01,877.55,0.92,0.79,1.6583,221.3914637159458,3,2011,0.84,1.6672,0.8,234.6876819702066,1.6741
2011-04-01,878.47,0.84,0.77,1.5856,226.94933233843176,4,2011,0.92,1.6583,0.79,221.3914637159458,1.6672
2011-05-01,888.6225,0.99,0.47,1.6127,218.56779416249728,5,2011,0.84,1.5856,0.77,226.94933233843176,1.6583
2011-06-01,896.95,0.96,0.15,1.5862,214.18751540237136,6,2011,0.99,1.6127,0.47,218.56779416249728,1.5856
2011-07-01,898.855,0.97,0.16,1.5631,219.0110102701908,7,2011,0.96,1.5862,0.15,214.18751540237136,1.6127
2011-08-01,903.655,1.07,0.37,1.5962,213.29557861347288,8,2011,0.97,1.5631,0.16,219.0110102701908,1.5862
2011-09-01,907.3299999999999,0.94,0.53,1.749,206.2662896203287,9,2011,1.07,1.5962,0.37,213.29557861347288,1.5631
2011-10-01,910.89,0.88,0.43,1.7719,182.792723143168,10,2011,0.94,1.749,0.53,206.2662896203287,1.5962
2011-11-01,911.3299999999999,0.86,0.52,1.7898,175.1795226435483,11,2011,0.88,1.7719,0.43,182.792723143168,1.749
2011-12-01,913.1075,0.91,0.5,1.8362,174.894371581831,12,2011,0.86,1.7898,0.52,175.1795226435483,1.7719
2012-01-01,925.275,0.89,0.56,1.789,183.21517493492152,1,2012,0.91,1.8362,0.5,174.894371581831,1.7898
2012-02-01,930.0225,0.75,0.45,1.7178,187.27385832963728,2,2012,0.89,1.789,0.56,183.21517493492152,1.8362
2012-03-01,931.8475000000001,0.82,0.21,1.7947,187.70109117684936,3,2012,0.75,1.7178,0.45,187.27385832963728,1.789
2012-04-01,943.8149999999999,0.71,0.64,1.8542,186.17544797309,4,2012,0.82,1.7947,0.21,187.70109117684936,1.7178
2012-05-01,951.8375,0.74,0.36,1.9854,176.1512075800272,5,2012,0.71,1.8542,0.64,186.17544797309,1.7947
2012-06-01,958.37,0.64,0.08,2.0486,169.980411344858,6,2012,0.74,1.9854,0.36,176.1512075800272,1.8542
2012-07-01,960.0325,0.68,0.43,2.0282,166.3589998443644,7,2012,0.64,2.0486,0.08,169.980411344858,1.9854
2012-08-01,962.6825,0.69,0.41,2.0289,154.2096197616202,8,2012,0.68,2.0282,0.43,166.3589998443644,2.0486
2012-09-01,963.875,0.54,0.57,2.0275,156.92482102886547,9,2012,0.69,2.0289,0.41,154.2096197616202,2.0282
2012-10-01,967.3050000000001,0.61,0.59,2.0293,162.63341075335833,10,2012,0.54,2.0275,0.57,156.92482102886547,2.0289
2012-11-01,972.72,0.55,0.6,2.0672,162.6919384617432,11,2012,0.61,2.0293,0.59,162.63341075335833,2.0275
2012-12-01,974.6925000000001,0.55,0.79,2.0772,171.8546458500203,12,2012,0.55,2.0672,0.6,162.6919384617432,2.0293
2013-01-01,976.6575,0.6,0.86,2.0305,183.4136331961707,1,2013,0.55,2.0772,0.79,171.8546458500203,2.0672
2013-02-01,988.47,0.49,0.6,1.9727,185.8054853475464,2,2013,0.6,2.0305,0.86,183.4136331961707,2.0772
2013-03-01,987.8199999999999,0.55,0.47,1.9823,172.5595746694833,3,2013,0.49,1.9727,0.6,185.8054853475464,2.0305
2013-04-01,1000.24,0.61,0.55,2.0016,166.7663672047305,4,2013,0.55,1.9823,0.47,172.5595746694833,1.9727
2013-05-01,951.0825,0.6,0.37,2.0343,159.2366584321249,5,2013,0.61,2.0016,0.55,166.7663672047305,1.9823
2013-06-01,1026.9125,0.61,0.26,2.1724,152.2117107003028,6,2013,0.6,2.0343,0.37,159.2366584321249,2.0016
2013-07-01,963.795,0.72,0.03,2.2516,155.9179886073141,7,2013,0.61,2.1724,0.26,152.2117107003028,2.0343
2013-08-01,965.75,0.71,0.24,2.3416,163.3589575898686,8,2013,0.72,2.2516,0.03,155.9179886073141,2.1724
2013-09-01,967.7125,0.71,0.35,2.2699,160.8628644727259,9,2013,0.71,2.3416,0.24,163.3589575898686,2.2516
